symbol,ensembl
RALA,ENSG00000006451
NMB,ENSG00000197696
OXT,ENSG00000101405
CARTPT,ENSG00000164326
AVP,ENSG00000101200
SEZ6L2,ENSG00000174938
APLP1,ENSG00000105290
CD74,ENSG00000019582
ISCU,ENSG00000136003
TRH,ENSG00000170893
LDLR,ENSG00000130164
SREBF1,ENSG00000072310
TMEM35A,ENSG00000126950
GPX3,ENSG00000211445
NPY,ENSG00000122585
ALDOC,ENSG00000109107
PCSK1N,ENSG00000102109
SNCB,ENSG00000074317
ATN1,ENSG00000111676
ADCYAP1,ENSG00000141433
UGP2,ENSG00000169764
DNAJC6,ENSG00000116675
ENHO,ENSG00000168913
ASTN1,ENSG00000152092
HSPH1,ENSG00000120694
PPP1R15A,ENSG00000087074
GASK1B,ENSG00000164125
PLPP3,ENSG00000162407
ARL8B,ENSG00000134108
APOLD1,ENSG00000178878
AZIN1,ENSG00000155096
CRHR1,ENSG00000120088
NPTN,ENSG00000156642
RGMA,ENSG00000182175
HCRTR1,ENSG00000121764
SARAF,ENSG00000133872
THRA,ENSG00000126351
TENM2,ENSG00000145934
C1QB,ENSG00000173369
TMEM163,ENSG00000152128
MAOA,ENSG00000189221
CP,ENSG00000047457
SPARC,ENSG00000113140
PENK,ENSG00000181195
GRID2,ENSG00000152208
C1QA,ENSG00000173372
MAP1LC3B,ENSG00000140941
MT1E,ENSG00000169715
TH,ENSG00000180176
RASD1,ENSG00000108551
TMSB4X,ENSG00000205542
INA,ENSG00000148798
C3,ENSG00000125730
REEP1,ENSG00000068615
DUSP1,ENSG00000120129
ENC1,ENSG00000171617
F13A1,ENSG00000124491
TMSB4Y,ENSG00000154620
PRCP,ENSG00000137509
NFE2L2,ENSG00000116044
ATF4,ENSG00000128272
CHAC1,ENSG00000128965
ACHE,ENSG00000087085
LONRF2,ENSG00000170500
CPEB4,ENSG00000113742
APOC1,ENSG00000130208
ITGB8,ENSG00000105855
CABLES1,ENSG00000134508
SLC6A2,ENSG00000103546
NRN1,ENSG00000124785
GLUL,ENSG00000135821
DNAJB1,ENSG00000132002
HSP90AB1,ENSG00000096384
PPME1,ENSG00000214517
GPX4,ENSG00000167468
NTSR2,ENSG00000169006
CRH,ENSG00000147571
PGRMC1,ENSG00000101856
CHGB,ENSG00000089199
SLC7A11,ENSG00000151012
SSR4,ENSG00000180879
CSTB,ENSG00000160213
BAG3,ENSG00000151929
GPAA1,ENSG00000197858
SLC6A3,ENSG00000142319
DBH,ENSG00000123454
LAPTM5,ENSG00000162511
GAL,ENSG00000069482
MT1X,ENSG00000187193
TAGLN,ENSG00000149591
FKBP2,ENSG00000173486
SLC6A4,ENSG00000108576
MCTP1,ENSG00000175471
HLA-DRA,ENSG00000204287
DDC,ENSG00000132437
ADRA2A,ENSG00000150594
DDIT3,ENSG00000175197
SLC18A2,ENSG00000165646
XBP1,ENSG00000100219
